ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,4.1 Base giratoria. (Parametro),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/2.TEORIA/T0.DEBATE.pdf
,4.1 Base giratoria. (Parametro),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/2.TEORIA/T1.TEORIA.pdf
,4.1 Base giratoria. (Parametro),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/2.TEORIA/T2.VIDEO.mp4
,4.1 Base giratoria. (Parametro),Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/3.PRACTICAS/P1.CONSTRUCCION.html
,4.1 Base giratoria. (Parametro),Practica: P2.EJEMPLO_REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/3.PRACTICAS/P2.EJEMPLO_REAL.html
,4.1 Base giratoria. (Parametro),Practica: P3.BLOQUES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/3.PRACTICAS/P3.BLOQUES.html
,4.1 Base giratoria. (Parametro),Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.1_Base-giratoria.%20%28Parametro%29/3.PRACTICAS/P4.JUEGO.html
,4.2 Hombro. (Coordinar dos acciones),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/2.TEORIA/T0.DEBATE.pdf
,4.2 Hombro. (Coordinar dos acciones),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/2.TEORIA/T1.TEORIA.pdf
,4.2 Hombro. (Coordinar dos acciones),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/2.TEORIA/T2.VIDEO.mp4
,4.2 Hombro. (Coordinar dos acciones),Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/3.PRACTICAS/P1.CONSTRUCCION.html
,4.2 Hombro. (Coordinar dos acciones),Practica: P2.EJEMPLO_REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/3.PRACTICAS/P2.EJEMPLO_REAL.html
,4.2 Hombro. (Coordinar dos acciones),Practica: P3.BLOQUES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/3.PRACTICAS/P3.BLOQUES.html
,4.2 Hombro. (Coordinar dos acciones),Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.2_Hombro.%20%28Coordinar-dos-acciones%29/3.PRACTICAS/P4.JUEGO.html
,4.3 Codo. (Secuencia tres motores),Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.3_Codo.%20%28Secuencia-tres-motores%29/2.TEORIA/T0.DEBATE.pdf
,4.3 Codo. (Secuencia tres motores),Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.3_Codo.%20%28Secuencia-tres-motores%29/2.TEORIA/T1.TEORIA.pdf
,4.3 Codo. (Secuencia tres motores),Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.3_Codo.%20%28Secuencia-tres-motores%29/2.TEORIA/T2.VIDEO.mp4
,4.3 Codo. (Secuencia tres motores),Practica: P1.CONSTRUCCION.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.3_Codo.%20%28Secuencia-tres-motores%29/3.PRACTICAS/P1.CONSTRUCCION.html
,4.3 Codo. (Secuencia tres motores),Practica: P2.EJEMPLO_REAL.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-4_Brazo-robotico/4.3_Codo.%20%28Secuencia-tres-motores%29/3.PRACTICAS/P2.EJEMPLO_REAL.html
