ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,7.1 Rover Marciano,Cuaderno Interactivo: 7.1 Rover Marciano - Perseverance (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografías técnicas, vídeos demostrativos, visor 3D del rover marciano y juego de exploración en el cráter Jezero.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.1_Rover_Marciano/MAPA_CLASE_7.1_ROVER_MARCIANO.html
,7.3 Base Lunar,Cuaderno Interactivo: 7.3 Base Lunar - Hábitats Permanentes (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía de hábitat lunar, visor 3D del complejo lunar y juego de gestión de recursos y soporte vital.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.3_Base_Lunar/MAPA_CLASE_7.3_BASE_LUNAR.html
,7.4 Terraformacion Marte,Cuaderno Interactivo: 7.4 Terraformación de Marte (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía de transformación planetaria, visor 3D del terreno marciano y simulador interactivo de biosfera.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.4_Terraformacion_Marte/MAPA_CLASE_7.4_TERRAFORMACION_MARTE.html
,7.5 Telescopios Espaciales,Cuaderno Interactivo: 7.5 Telescopios Espaciales - Hubble y Webb (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía del telescopio James Webb, visores 3D del Hubble y JWST, y juego de alineación óptica espacial.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.5_Telescopios_Espaciales/MAPA_CLASE_7.5_TELESCOPIOS_ESPACIALES.html
,7.6 Ascensor Espacial,Cuaderno Interactivo: 7.6 Ascensor Espacial - Megaestructuras (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: presentación interactiva, infografías de ingeniería, visor 3D de la megaestructura del ascensor y simulador de ascenso.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.6_Ascensor_Espacial/MAPA_CLASE_7.6_ASCENSOR_ESPACIAL.html
,7.7 Sondas Voyager y Heliopausa,"Cuaderno Interactivo: 7.7 Sondas Espaciales - Voyager, Cassini y Sputnik (Mapa de Recursos y Simuladores)","Acceso interactivo a todos los recursos de la clase: infografía de sondas interestelares, visores 3D de Voyager 1, Cassini-Huygens y Sputnik 1, y juego de asistencia gravitatoria.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.7_Sondas_Voyager_y_Heliopausa/MAPA_CLASE_7.7_SONDAS_ESPACIALES.html
,7.8 Red de Comunicaciones Espaciales,Cuaderno Interactivo: 7.8 Red de Comunicaciones Espaciales - DSN (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía de la red DSN, visor 3D de estación de antenas parabólicas gigantes y juego de transmisión de telemetría interplanetaria.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.8_Red_de_Comunicaciones_Espaciales/MAPA_CLASE_7.8_RED_COMUNICACIONES.html
,7.9 Mineria Lunar y Logistica,Cuaderno Interactivo: 7.9 Minería Lunar y Logística - Helio-3 (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía de minería espacial e ISRU, visor 3D de complejo minero lunar y juego de extracción y procesado.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.9_Mineria_Lunar_y_Logistica/MAPA_CLASE_7.9_MINERIA_LUNAR.html
,7.10 Mision Apolo y Carrera Espacial,Cuaderno Interactivo: 7.10 Misión Apolo 11 y Carrera Espacial (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía de corte transversal del Saturno V, visor 3D del Módulo Lunar Eagle, simulador interactivo de las 7 fases de la misión Apolo 11 y juego.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.10_Mision_Apolo_y_Carrera_Espacial/MAPA_CLASE_7.10_MISION_APOLO.html
,7.11 Paseo Espacial EVA,Cuaderno Interactivo: 7.11 Paseo Espacial EVA - Trajes y Actividades (Mapa de Recursos y Simuladores),"Acceso interactivo a todos los recursos de la clase: infografía de ingeniería del traje espacial EMU, visor 3D interactivo del astronauta animado en gravedad cero y juego espacial.",https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-7_Exploracion_Espacial/7.11_Paseo_Espacial_EVA/MAPA_CLASE_7.11_PASEO_ESPACIAL_EVA.html
